ngram,count
삭제된 게시물의 답글,7
공매도 세력 커버링,1
프로그램이 50만주가 넘었네,1
형들 내일 한번,1
내일 한번 갈까요,1
나라꼴 한순간이군 주식시장폭락,1
한순간이군 주식시장폭락 수출입대적자,1
잡주 손도 대지들마삼,1
3만원에 매물 뭐냐,1
대북주 시외급락 팜젠은,1
시외급락 팜젠은 다시,1
팜젠은 다시 다음주부터,1
다시 다음주부터 날라감,1
한국에서 어나면 정부에서,1
어나면 정부에서 선물을,1
정부에서 선물을 준단다,1
초보나 잘물리시는분 내년,1
잘물리시는분 내년 상승종목,1
내년 상승종목 하나,1
보고있으면 속이 답답,1
니도 상가자 우선주,1
상가자 우선주 쩜상이다,1
오늘 불나방들 타죽는줄,1
불나방들 타죽는줄 알고,1
타죽는줄 알고 덤비나,1
무지무지 손해 종목,1
테마주 전문 미국에서,1
전문 미국에서 테스트해서,1
미국에서 테스트해서 실패라고,1
테스트해서 실패라고 나오기,1
실패라고 나오기 전까지,1
나오기 전까지 살아,1
전까지 살아 있음,1
주주 환원정책 없나,1
거시기해서 거시기 해불자,1
라희 할매 처분해,1
안철수 윤석열은 몰래,1
윤석열은 몰래 만나는,1
몰래 만나는 절친사이,1
어제랑 똑같은 패턴,1
지분11 누가 가져간거냐,1
이거 20만원 밑에서,1
20만원 밑에서 파는,1
밑에서 파는 사람은,1
한동훈 테마주 엮일,1
테마주 엮일 수도,1
매년150억 적자를 주주들,1
적자를 주주들 추석전에,1
주주들 추석전에 유상증자로,1
추석전에 유상증자로 돌파,1
오늘 하한가 가즈아,1
하한가 가즈아 40만원,1
가즈아 40만원 좋다,1
어쩜 매일 이리,1
매일 이리 똑같을까,1
이뮤노믹때랑 똑같은 패턴이다,1
오늘 종가안봐도 확실해졌다,1
와케 개미들 이렇게,1
개미들 이렇게 호구들,1
이렇게 호구들 많노,1
어갈간 지금같은 장에는,1
지금같은 장에는 파악을,1
장에는 파악을 잘해야합니다,1
이제 재무재표 떳네,1
mo지리가 거래도없는 주식,1
미국 15위면 하루,1
15위면 하루 매출이,1
하루 매출이 어느정도인가요,1
자사주 매도 금지바랍니다,1
부동산 관련 공시,1
오늘은 개미 잔칫날,1
호재가 있긴있나보다 파악파악,1
있긴있나보다 파악파악 누르네,1
하구한날 쳐맞고 있슴미다,1
유튜버 이너들 언제나,1
이너들 언제나 매도금지,1
도룬cw색이 애뮈 데지고,1
애뮈 데지고 10년이,1
데지고 10년이 지나도,1
창사이래 가장 이슈에,1
가장 이슈에 탔네요,1
미치것 읍니다 지금,1
읍니다 지금 10140원,1
지금 10140원 까지,1
10140원 까지 매입을,1
까지 매입을 기다리는대,1
매입을 기다리는대 전문가님들,1
기다리는대 전문가님들 언제나,1
전문가님들 언제나 오나요,1
석열이만 탄핵할게 아니고,1
오늘 털린넘들 모두,1
털린넘들 모두 안티로,1
모두 안티로 돌변했네,1
안티로 돌변했네 누가,1
돌변했네 누가 매도하라고,1
누가 매도하라고 했나,1
예전부터 관심가던 주식인데,1
아니 빠져도 적당히,1
빠져도 적당히 빠져야지,1
조국 법정에서 나온,1
법정에서 나온 진술,1
한화솔루션도 어제까지 잡주로,1
어제까지 잡주로 욕먹더만,1
가자 올라갈때 되었다,1
올라갈때 되었다 때넘들,1
되었다 때넘들 더럽게,1
때넘들 더럽게 못하네,1
게시물의 답글 2분기,1
답글 2분기 실적,1
2분기 실적 발표,1
실적 발표 언제,1
종목이슈는 미장이랑 상관없이,1
다른종목 기웃거려도 노잼판이라,1
신용비율 버그걸린거 같은데,1
오늘이 마지막 상승임,1
개잡엘 가는날 분명히,1
가는날 분명히 올거여,1
불법비끼 변메이드 공매알바,1
변메이드 공매알바 동일인,1
공매알바 동일인 공매알바야,1
동일인 공매알바야 하루종일,1
공매알바야 하루종일 사기치는,1
하루종일 사기치는 너한테,1
사기치는 너한테 하는말이여,1
kd kh ky,1
kh ky 안티,1
ky 안티 니가,1
안티 니가 쓴글,1
니가 쓴글 댓글,1
쓴글 댓글 전부,1
댓글 전부 무지개반사,1
솔직히 오를 사면,1
오를 사면 무슨,1
사면 무슨 의미냐,1
기운의 진동으로 봤을때,1
진동으로 봤을때 6500,1
봤을때 6500 까지,1
6500 까지 일단,1
까지 일단 갈듯,1
음바페가 팀과의불화로 시장에풀려버린,1
대박 인수 걱정무,1
찬티가 많으면 하방이야,1
러시아 백신 효능,1
백신 효능 92,1
효능 92 달해,1
92 달해 같은,1
달해 같은 플랫폼,1
같은 플랫폼 아스트라제네카,1
플랫폼 아스트라제네카 62,1
아스트라제네카 62 불과,1
손절치는 자는 삼류다,1
내일 원위치 지금,1
원위치 지금 팔아라,1
주주들 강성주주 확실,1
비교를 하려면 제대로,1
하려면 제대로 해라,1
마스크 진단키트 이어,1
진단키트 이어 수출효자로,1
자울주행 움직일때 되었다,1
얘네들 특기가 항상,1
힘드시겠지만 현실적으로 말씀드리겠습니다,1
29 갈데까지 가보지머,1
시가배당율이 주식 신규진입,1
주식 신규진입 절대,1
신규진입 절대 안됩니다,1
형들 주말 걱정하지마러,1
삼전우만 빼고 폐기,1
빼고 폐기 처분했다,1
평판안테나 출시로 자율주행에도,1
출시로 자율주행에도 관련,1
본좌 아직 안팔았,1
튀어라 하한가는 뭐있는거다,1
오늘 12100원 뚫리나,1
12100원 뚫리나 진심,1
뚫리나 진심 뚜는순간,1
진심 뚜는순간 상상상인데,1
가처분 풀리면 위메이드,1
풀리면 위메이드 전물량,1
위메이드 전물량 덤핑할껀데,1
알테오젠의 공매도 잔고,1
공매도 잔고 대량,1
잔고 대량 보유자,1
참는 자에게 복이,1
자에게 복이 있나니,1
맘에 않드네 장중매매는,1
않드네 장중매매는 말아야지,1
7600 쪼옵 쪼옵,1
쪼옵 쪼옵 내려와라,1
이덩도면 최소 700만원,1
최소 700만원 수익은,1
700만원 수익은 기본,1
매집이 안되있다 도망쳐,1
맨날 시외 매도,1
시외 매도 저렇게,1
매도 저렇게 걸어논,1
ocup 렉산합병 패턴,1
오늘로 예정된 ai전문회사설립관련,1
예정된 ai전문회사설립관련 재공시,1
ai전문회사설립관련 재공시 몇시에,1
재공시 몇시에 합니까,1
